20160301.000000,20160312.000000,-8752.153284,9379.241564
20160301.000000,20160323.000000,-69436.622264,8747.994886
20160312.000000,20160323.000000,-113814.313042,9379.230336
20160304.000000,20160326.000000,-18721.102282,8738.425530
20160326.000000,20160406.000000,155300.892646,9331.052848
20160320.000000,20160411.000000,-122187.310532,8805.956594
20160403.000000,20171027.000000,-43313.871953,5629.244699
20160425.000000,20170811.000000,-45968.754649,5797.420632
20160528.000000,20160630.000000,-16649.879921,8518.319676
20160630.000000,20171118.000000,-40274.436659,5664.498593
20160722.000000,20161201.000000,-72389.870367,7234.084848
20160904.000000,20180707.000000,-12615.047319,5574.447575
20160915.000000,20180911.000000,-9136.642688,5411.939945
20160926.000000,20170114.000000,-19440.482512,7462.252167
20161201.000000,20171027.000000,-27074.891864,6117.388015
20161223.000000,20171107.000000,-22912.423943,6147.169894
20170114.000000,20170902.000000,-29305.315689,6550.321348
20170811.000000,20171005.000000,4148.191122,8167.536262
20170822.000000,20180707.000000,26452.151896,6114.447672
20170913.000000,20180707.000000,44554.916680,6211.648720
20170924.000000,20180319.000000,30015.197441,6864.029632
20171005.000000,20171107.000000,-15860.249923,8518.338087
20171016.000000,20180319.000000,27954.826539,7037.649163
20171027.000000,20180911.000000,12284.775448,6111.109078
20171107.000000,20171118.000000,-24177.012081,9379.243462
20171118.000000,20171129.000000,-14209.392408,9379.241564
20171129.000000,20171221.000000,1247.824057,8747.996872
20171210.000000,20180820.000000,19182.081044,6395.030117
20171221.000000,20180911.000000,14046.060925,6347.563075
20180112.000000,20181003.000000,-9729.241378,6348.623527
20180319.000000,20180707.000000,34684.117915,7459.148168
20180707.000000,20180911.000000,-102113.832027,8007.376923
20180729.000000,20181003.000000,-45220.993419,8007.405024
20180820.000000,20181003.000000,-69496.803347,8336.364165
20180911.000000,20181003.000000,47253.222574,8748.002890
