caldate_master,caldate_slave,dyear_master,dyear_slave,dVrate_m3peryr,dVunc_m3peryr
20120714,20120715,2012.53206431344,2012.53480222044,-324637978,177597076.834052
20120715,20120716,2012.53480222044,2012.53754012745,232984154,179364613.845652
20120716,20120717,2012.53754012745,2012.54027803446,33261012.6,179439164.621328
20120717,20120718,2012.54027803446,2012.54301594146,23120016.2,180327454.093934
20120718,20120719,2012.54301594146,2012.54575384847,-161909792,179906756.126611
20120719,20120720,2012.54575384847,2012.54849175548,83635199.4,178339568.800645
20120720,20120721,2012.54849175548,2012.55122966248,178206215,175600373.575912
20120721,20120722,2012.55122966248,2012.55396756949,-61523484.4,173288990.994812
20120722,20120723,2012.55396756949,2012.5567054765,160510619,175047708.92531
20120723,20120724,2012.5567054765,2012.55944338351,-246761580,178334366.009471
20120724,20120725,2012.55944338351,2012.56218129051,-108120652,178754120.232234
20120725,20120726,2012.56218129051,2012.56491919752,89454488.7,177250735.400449
20120726,20120727,2012.56491919752,2012.56765710453,-51838405.5,178911864.335488
20120727,20120728,2012.56765710453,2012.57039501153,115982920,178316130.509834
20120728,20120729,2012.57039501153,2012.57313291854,47426433.9,176674827.295798
20120729,20120730,2012.57313291854,2012.57587082555,-138900439,177300230.682309
20120730,20120731,2012.57587082555,2012.57860873255,-118177399,177075141.677199
20120731,20120801,2012.57860873255,2012.58134663956,135713725,180186720.931372
20120801,20120802,2012.58134663956,2012.58408454657,111028802,180167388.00349
20120802,20120803,2012.58408454657,2012.58682245358,-305327187,177054771.46917
20120803,20120804,2012.58682245358,2012.58956036058,116136624,177496212.353954
20120804,20120805,2012.58956036058,2012.59229826759,-139021564,178542369.481308
20120805,20120806,2012.59229826759,2012.5950361746,89588689.7,177975601.979597
20120806,20120807,2012.5950361746,2012.5977740816,335661294,175344489.220506
20120807,20120808,2012.5977740816,2012.60051198861,-366763807,176347648.977807
20120808,20120809,2012.60051198861,2012.60324989562,41722702.5,176922539.547679
20120809,20120810,2012.60324989562,2012.60598780262,219842315,175061725.114315
20120810,20120811,2012.60598780262,2012.60872570963,-304621100,175528683.126149
20120811,20120812,2012.60872570963,2012.61146361664,555135938,175683707.554229
20120812,20120813,2012.61146361664,2012.61420152365,-326016528,175421268.94992
20120813,20120814,2012.61420152365,2012.61693943065,-139934146,175373807.052251
20120814,20120815,2012.61693943065,2012.61967733766,7191338.04,176410633.182924
20120815,20120816,2012.61967733766,2012.62241524467,-4557119.41,178277899.359399
20120816,20120817,2012.62241524467,2012.62515315167,57193595.2,178709013.482812
20120817,20120818,2012.62515315167,2012.62789105868,27140891.8,178149675.834676
20120818,20120819,2012.62789105868,2012.63062896569,-51772388.4,177100498.587666
20120819,20120820,2012.63062896569,2012.63336687269,-33272968.1,175548064.073632
20120820,20120821,2012.63336687269,2012.6361047797,-4523830.67,176607955.936305
20120821,20120822,2012.6361047797,2012.63884268671,158797351,181904835.009958
20120822,20120823,2012.63884268671,2012.64158059372,-217333144,183711116.157951
20120823,20120824,2012.64158059372,2012.64431850072,93404378.2,180175170.320441
20120824,20120825,2012.64431850072,2012.64705640773,-23751269.2,176683827.499859
20120825,20120826,2012.64705640773,2012.64979431474,-118981970,177120548.497344
20120826,20120827,2012.64979431474,2012.65253222174,299170266,178588614.698698
20120827,20120828,2012.65253222174,2012.65527012875,-40625369.8,178874170.019039
20120828,20120829,2012.65527012875,2012.65800803576,-163151787,177392665.293692
20120829,20120830,2012.65800803576,2012.66074594276,155570735,175713742.49045
20120830,20120831,2012.66074594276,2012.66348384977,-256471953,176925376.924849
20120831,20120901,2012.66348384977,2012.66622175678,153462747,177135383.534742
20120901,20120902,2012.66622175678,2012.66895966379,133598526,177259367.030349
20120902,20120903,2012.66895966379,2012.67169757079,-261936910,177451303.742745
20120903,20120904,2012.67169757079,2012.6744354778,156434636,177635241.998878
20120904,20120905,2012.6744354778,2012.67717338481,-30932669.2,177368992.780587
20120905,20120906,2012.67717338481,2012.67991129181,-100420269,179169733.493132
20120906,20120907,2012.67991129181,2012.68264919882,31131654.4,180148352.754057
20120907,20120908,2012.68264919882,2012.68538710583,179429305,177305985.516564
20120908,20120909,2012.68538710583,2012.68812501283,-106544574,175424801.553258
20120909,20120910,2012.68812501283,2012.69086291984,-223337258,177980816.101062
20120910,20120911,2012.69086291984,2012.69360082685,392779980,181359567.710116
20120911,20120912,2012.69360082685,2012.69633873385,-11767623.7,180906631.719238
20120912,20120913,2012.69633873385,2012.69907664086,4369828.24,181584757.89559
20120913,20120914,2012.69907664086,2012.70181454787,-86793407.4,183414048.535002
20120914,20120915,2012.70181454787,2012.70455245488,28602345.7,181056810.421481
20120915,20120916,2012.70455245488,2012.70729036188,92598312.6,178995163.901151
20120916,20120917,2012.70729036188,2012.71002826889,-18222686.7,180986558.893195
20120917,20120918,2012.71002826889,2012.7127661759,-185592615,180857492.518281
20120918,20120919,2012.7127661759,2012.7155040829,-54226003.5,180459340.849954
20120919,20120920,2012.7155040829,2012.71824198991,-5910188.78,180017241.674235
20120920,20120921,2012.71824198991,2012.72097989692,43830802.3,179727640.055724
20120921,20120922,2012.72097989692,2012.72371780392,116233090,179862469.681699
20120922,20120923,2012.72371780392,2012.72645571093,79026447,179131441.126342
20120923,20120924,2012.72645571093,2012.72919361794,-420207357,180127422.676282
20120924,20120925,2012.72919361794,2012.73193152495,225915585,182805813.638407
20120925,20120926,2012.73193152495,2012.73466943195,-94770374.5,185637013.819981
20120926,20120927,2012.73466943195,2012.73740733896,309025001,185107754.834853
20120927,20120928,2012.73740733896,2012.74014524597,-192877431,183021588.890491
20120928,20120929,2012.74014524597,2012.74288315297,-17753991.7,181438719.131281
20120929,20120930,2012.74288315297,2012.74562105998,-51975035,181182917.517077
20120930,20121001,2012.74562105998,2012.74835896699,232471410,181301773.295244
20121001,20121002,2012.74835896699,2012.75109687399,-57585961.4,178688173.643361
20121002,20121003,2012.75109687399,2012.753834781,2106605.27,177785507.283355
20121003,20121004,2012.753834781,2012.75657268801,-141220899,179856470.831605
20121004,20121005,2012.75657268801,2012.75931059502,40628284,181900071.467825
20121005,20121006,2012.75931059502,2012.76204850202,-159103862,182007004.260825
20121006,20121007,2012.76204850202,2012.76478640903,50404001,180607153.512811
20121007,20121008,2012.76478640903,2012.76752431604,112455846,179912453.432218
20121008,20121009,2012.76752431604,2012.77026222304,-324221365,179036387.363016
20121009,20121010,2012.77026222304,2012.77300013005,289548065,177698601.288812
20121010,20121011,2012.77300013005,2012.77573803706,3391117.03,178272405.323987
20121011,20121012,2012.77573803706,2012.77847594406,145672773,179543608.073359
20121012,20121013,2012.77847594406,2012.78121385107,-154310919,178904260.429985
20121013,20121014,2012.78121385107,2012.78395175808,123591058,176796355.731672
20121014,20121015,2012.78395175808,2012.78668966509,-187464033,176828913.359778
20121015,20121016,2012.78668966509,2012.78942757209,118971845,179058545.453715
20121016,20121017,2012.78942757209,2012.7921654791,-192236427,179951806.603879
20121017,20121018,2012.7921654791,2012.79490338611,-34207780.1,180606358.415201
20121018,20121019,2012.79490338611,2012.79764129311,262339064,179796139.280019
20121019,20121020,2012.79764129311,2012.80037920012,-170722414,179990074.726358
20121020,20121021,2012.80037920012,2012.80311710713,-93807242.9,181135435.793221
20121021,20121022,2012.80311710713,2012.80585501413,-285605312,178300630.957941
20121022,20121023,2012.80585501413,2012.80859292114,143027346,175780680.394633
20121023,20121024,2012.80859292114,2012.81133082815,435144434,176430146.233573
20121024,20121025,2012.81133082815,2012.81406873516,73972499.8,178783702.557028
20121025,20121026,2012.81406873516,2012.81680664216,-156306375,181665665.991128
20121026,20121027,2012.81680664216,2012.81954454917,-238315918,181200505.793996
20121027,20121028,2012.81954454917,2012.82228245618,261531953,178577287.4696
20121028,20121029,2012.82228245618,2012.82502036318,-10677314.9,177330898.322881
20121029,20121030,2012.82502036318,2012.82775827019,-50155773.9,177166181.02787
20121030,20121031,2012.82775827019,2012.8304961772,62595673.1,178913642.017595
20121031,20121101,2012.8304961772,2012.8332340842,172937554,178233246.337489
20121101,20121102,2012.8332340842,2012.83597199121,-183048624,176119634.907639
20121102,20121103,2012.83597199121,2012.83870989822,66454252.1,176600862.115676
20121103,20121104,2012.83870989822,2012.84144780523,120475293,176771017.420843
20121104,20121105,2012.84144780523,2012.84418571223,-329773373,178916630.864769
20121105,20121106,2012.84418571223,2012.84692361924,71834025.5,180890248.216978
20121106,20121107,2012.84692361924,2012.84966152625,-66850802.8,180195615.928912
20121107,20121108,2012.84966152625,2012.85239943325,170960591,179541144.031111
20121108,20121109,2012.85239943325,2012.85513734026,-294153754,179223811.755023
20121109,20121110,2012.85513734026,2012.85787524727,365690796,178359689.952635
20121110,20121111,2012.85787524727,2012.86061315427,-141188993,178653097.370295
20121111,20121112,2012.86061315427,2012.86335106128,63880110.1,178855743.547698
20121112,20121113,2012.86335106128,2012.86608896829,48074574.2,178124929.192968
20121113,20121114,2012.86608896829,2012.8688268753,61620511.2,176917085.947062
20121114,20121115,2012.8688268753,2012.8715647823,-368623568,175981736.268284
20121115,20121116,2012.8715647823,2012.87430268931,261863308,178671211.727015
20121116,20121117,2012.87430268931,2012.87704059632,-189647789,179686170.029861
20121117,20121118,2012.87704059632,2012.87977850332,226016460,179344124.520431
20121118,20121119,2012.87977850332,2012.88251641033,66312915.1,177811949.542206
20121119,20121120,2012.88251641033,2012.88525431734,-74823548.1,177273820.402224
20121120,20121121,2012.88525431734,2012.88799222434,14909691.7,181295018.133428
20121121,20121122,2012.88799222434,2012.89073013135,-148865427,183299155.48087
20121122,20121123,2012.89073013135,2012.89346803836,132413059,180779202.896793
20121123,20121124,2012.89346803836,2012.89620594536,-113797483,179073486.591399
20121124,20121125,2012.89620594536,2012.89894385237,-104915294,180733172.937344
20121125,20121126,2012.89894385237,2012.90168175938,193602834,179731141.430749
20121126,20121127,2012.90168175938,2012.90441966639,-167315008,179523134.442333
20121127,20121128,2012.90441966639,2012.90715757339,136026362,182199737.101896
20121128,20121129,2012.90715757339,2012.9098954804,-24146325.4,181609495.346471
20121129,20121130,2012.9098954804,2012.91263338741,-69311927.5,180770483.486658
20121130,20121201,2012.91263338741,2012.91537129441,-120446861,191510040.467856
20121201,20121202,2012.91537129441,2012.91810920142,-124681591,190171293.575029
20121202,20121203,2012.91810920142,2012.92084710843,540130154,181736731.840319
20121203,20121204,2012.92084710843,2012.92358501544,-367360613,183252860.550661
20121204,20121205,2012.92358501544,2012.92632292244,-197469408,181614366.171842
20121205,20121206,2012.92632292244,2012.92906082945,105871850,185237553.697948
20121206,20121207,2012.92906082945,2012.93179873646,159661326,184179115.808498
20121207,20121208,2012.93179873646,2012.93453664346,-4895349.39,179992529.289412
20121208,20121209,2012.93453664346,2012.93727455047,59844290.1,180981818.700111
20121209,20121210,2012.93727455047,2012.94001245748,11798670.8,179928349.350512
20121210,20121211,2012.94001245748,2012.94275036448,16330646.2,179954182.779951
20121211,20121212,2012.94275036448,2012.94548827149,-294946071,180353647.31549
20121212,20121213,2012.94548827149,2012.9482261785,219378103,179386122.372942
20121213,20121214,2012.9482261785,2012.9509640855,-183744175,178132761.44494
20121214,20121215,2012.9509640855,2012.95370199251,134122665,176534858.880619
20121215,20121216,2012.95370199251,2012.95643989952,-64349290.8,176828250.005478
20121216,20121217,2012.95643989952,2012.95917780653,-122046551,178466021.976173
20121217,20121218,2012.95917780653,2012.96191571353,21564785.9,179070218.629453
20121218,20121219,2012.96191571353,2012.96465362054,227808522,176986284.214342
20121219,20121220,2012.96465362054,2012.96739152755,79839760.6,175137610.752231
20121220,20121221,2012.96739152755,2012.97012943455,-111379174,173904110.072189
20121221,20121222,2012.97012943455,2012.97286734156,-67149168.5,172949994.796184
