caldate_master,caldate_slave,dyear_master,dyear_slave,dVrate_m3peryr,dVunc_m3peryr,bperp_m
20070706,20080725,2007.50800495561,2008.5620991533,-1084002.9360786,827131.960227274,-190.902458
20070706,20080829,2007.50800495561,2008.65792589855,-914565.872603108,733746.093750067,221.5435
20070810,20080307,2007.60383170086,2008.17879217232,-2009605.03589161,1516408.59374984,-56.669585
20070810,20080620,2007.60383170086,2008.46627240806,-1668818.15292604,1010939.06250003,-230.454187
20070810,20080725,2007.60383170086,2008.5620991533,-1145976.76086864,909845.156249903,-168.767069
20070810,20080829,2007.60383170086,2008.65792589855,-1077010.29622142,747086.931818183,243.745688
20070914,20080411,2007.6996584461,2008.27461891757,-1735483.42023047,1516408.59374984,-63.8648
20070914,20080829,2007.6996584461,2008.65792589855,-1239063.81769427,851145.468749909,-90.685328
20071123,20080725,2007.89131193659,2008.5620991533,-2603603.85124762,922423.660714031,-298.254637
20071123,20080829,2007.89131193659,2008.65792589855,-1794671.09780791,1100619.14062488,114.309206
20080201,20080829,2008.08296542708,2008.65792589855,-3242795.8941955,1076160.93749989,101.953903
20080201,20091127,2008.08296542708,2009.90367358673,-1015148.96124698,200814.720394728,-113.716802
20080307,20091127,2008.17879217232,2009.90367358673,-770070.867718144,342414.843750009,84.771249
20080411,20091127,2008.27461891757,2009.90367358673,-924614.166741451,345292.279411752,-242.486118
20080411,20100205,2008.27461891757,2010.09532707722,-888407.857804745,262603.865131567,-186.894739
20080516,20090605,2008.37044566281,2009.4245398605,-939547.609795989,800450.28409091,-194.354565
20080516,20100312,2008.37044566281,2010.19115382246,-734300.47924817,432524.01315793,179.169098
20080620,20090605,2008.46627240806,2009.4245398605,-1062028.53264211,909845.156249903,-265.537689
20080620,20091127,2008.46627240806,2009.90367358673,-949480.823971324,528297.187499985,258.53375
20080620,20100312,2008.46627240806,2010.19115382246,-899053.131624698,391331.25000001,107.982788
20080725,20091127,2008.5620991533,2009.90367358673,-1069984.25062117,503140.17857146,196.866874
20080725,20100205,2008.5620991533,2010.09532707722,-963967.59447709,403560.351562517,252.450619
20080725,20100312,2008.5620991533,2010.19115382246,-994628.431737949,397086.12132357,46.504222
20080725,20100521,2008.5620991533,2010.38280731295,-869779.978086575,324393.009868447,3.665648
20080829,20091127,2008.65792589855,2009.90367358673,-1219737.51307552,451536.057692301,-215.624907
20080829,20100205,2008.65792589855,2010.09532707722,-1081223.04633081,410897.812499989,-160.042069
20080829,20100625,2008.65792589855,2010.47863405819,-853160.611034331,339840.296052617,-201.567842
20091127,20100625,2009.90367358673,2010.47863405819,-3062325.23864742,1222910.15624987,14.120227
20091127,20100730,2009.90367358673,2010.57446080344,-2150045.26393488,1299778.79464294,-137.377041
20091127,20100903,2009.90367358673,2010.67028754868,-2349323.81182139,843808.00781241,-26.515177
20141103,20160214,2014.83738201332,2016.11872249259,-844547.096815428,365827.824519262,-26.721961
20141103,20160402,2014.83738201332,2016.25014202893,-763302.025246994,331797.329215143,-73.248312
20141103,20160426,2014.83738201332,2016.31585179709,-726369.333811365,306482.421875001,-18.486117
20141103,20160613,2014.83738201332,2016.44727133343,-665208.323965611,300874.720982145,-65.845168
20141127,20160214,2014.90309178149,2016.11872249259,-898791.202559139,398455.711570944,-90.399354
20141127,20160402,2014.90309178149,2016.25014202893,-809380.95997039,359581.983612805,-136.929886
20141127,20160426,2014.90309178149,2016.31585179709,-756963.642505937,309677.507267417,-82.514478
20141127,20160613,2014.90309178149,2016.44727133343,-696129.219719545,313677.900598383,-129.690238
20150207,20160402,2015.10022108599,2016.25014202893,-939159.452165036,421224.609375038,-115.658768
20150207,20160426,2015.10022108599,2016.31585179709,-883345.730732448,218507.970861485,-61.551022
